gene_symbol,phase_hours
Hint3,14.999999999999996
Hist1h2ac,6.0
Hist1h4b,6.0
Hist1h4c,6.0
Hist2h4a,6.0
Hist2h4b,6.0
Hjurp,12.0
Hmg20b,18.0
Hmgb2,12.0
Hmgb3p,18.0
Hmmr,18.0
Hn1,14.999999999999996
Hormad1,0.0
Hp1bp3,12.0
Hrsp12,12.0
Hspa1lp,18.0
Hspa2,12.0
Hspa4,0.0
Hspa8,0.0
Hspb8,6.0
Ido1,18.0
Ier5,6.0
Ifit2,0.0
Il6,12.0
Il7r,18.0
Inpp5k,18.0
Insig2,12.0
Ints8,0.0
Iqgap3,12.0
Irak1p,12.0
Ivns1abp,0.0
Kbtbd2,18.0
Kiaa1524,12.0
Kif11,12.0
Kif14,14.999999999999996
Kif20b,14.999999999999996
Kif23,12.0
Kif2c,18.0
Kif5b,18.0
Kifc1p,12.0
Klf6,12.0
Klf9,12.0
Kmo,0.0
Kpna2p,14.999999999999996
Larp1,0.0
Lbr,18.0
Liph,6.0
Lmna,18.0
Lpp,18.0
Lrif1,18.0
Lrrc17,18.0
Ltbp3,12.0
Mad2l1,12.0
Map2k6,0.0
Mapk13,18.0
Mastl,6.0
Mboat1,3.0
Mcm2,3.0
Mcm4,18.0
Mcm5,3.0
Mcm6,0.0
Melk,12.0
Mepce,12.0
Mgat2,12.0
Mis18bp1,12.0
Mki67,14.999999999999996
Mlf1ip,6.0
Mnd1,12.0
Msh2,3.0
Msl1,0.0
Muc1,12.0
Mzt1,18.0
Nasp,0.0
Ncaph,12.0
Ncoa3,0.0
Ndc80,12.0
Nde1,18.0
Neil3,12.0
Nek2,18.0
Nfe2l2,12.0
Nnmt,12.0
Nr2f6,0.0
Nuf2,18.0
Nup35,18.0
Nusap1,12.0
Nxf1,0.0
Odf2,18.0
Olr1,18.0
Opn3,0.0
Orc1,3.0
Paqr4,3.0
Pbk,14.999999999999996
Pcbp1,12.0
Pcf11,18.0
Pcna,3.0
Pcsk6,3.0
Pif1,12.0
Pkmyt1,3.0
Plag1,18.0
Plcxd1,0.0
Plekhg4b,18.0
Plk1,18.0
Pnrc2,12.0
Pold3,3.0
Polq,12.0
Ppp1r10,14.999999999999996
Prc1,18.0
Prr11,18.0
Psmg3,18.0
Psrc1,12.0
Pttg1,0.0
Pwp1,18.0
Rad21,18.0
Rad51ap1,12.0
Rad51c,18.0
Rad54l,6.0
Ran,18.0
Rangap1,14.999999999999996
Rbbp8,3.0
Rcan1,14.999999999999996
Rfc2,6.0
Rfc4,3.0
Rgs3,12.0
Rhno1,12.0
Rhobtb3,12.0
Rhpn1,6.0
Rpl37,0.0
Rrm2,6.0
Rrp1,14.999999999999996
Runx1,3.0
Sap30,12.0
Sapcd2,18.0
Scyl1,12.0
Sephs1,0.0
Sepn1,18.0
Serpinb4,3.0
Sfpq,18.0
Sgcd,14.999999999999996
Sgol2,14.999999999999996
Sh3gl2,6.0
Shcbp1,14.999999999999996
Ska3,12.0
Skp2,0.0
Slbp,0.0
Slc17a2,18.0
Slc1a3,0.0
Slc25a29,3.0
Slc39a10,0.0
Smad3,14.999999999999996
Smc4,14.999999999999996
Smtn,18.0
Sorbs2,0.0
Spag5,18.0
Spdl1,14.999999999999996
Srd5a1,18.0
Srek1,12.0
Srsf3,14.999999999999996
Stag1,18.0
Stat1,12.0
Stat5b,12.0
Stil,12.0
Stk17b,12.0
Suclg2,12.0
Tacc3,14.999999999999996
Tceb3,6.0
Timp1,12.0
Tmed7,0.0
Top2a,12.0
Topbp1,6.0
Tpx2,18.0
Trip13,12.0
Trmt2a,0.0
Troap,18.0
Tsc22d1,0.0
Ttc38,14.999999999999996
Ttk,12.0
Tuba1a,12.0
Tuba3d,12.0
Tuba4a,12.0
Tubb2a,12.0
Tubb4b,12.0
Tubd1,12.0
Ube2c,12.0
Ube2d3,0.0
Ube2s,18.0
Ube2t,12.0
Ubr5,3.0
Ubr7,3.0
Ung,0.0
Usb1,18.0
Usp1,6.0
Vangl1,18.0
Vegfc,18.0
Vps25,12.0
Wdr76,3.0
Wdr90,6.0
Wisp1,12.0
Wsb1,12.0
Xbp1,0.0
Xpo4,18.0
Xpr1,0.0
Yeats4,12.0
Ywhah,18.0
Zc3h3,12.0
Zc3hc1,18.0
Zcchc14,0.0
Znf248,0.0
Znf367,0.0
Znf414,3.0
Znf521,18.0
Zpbp,18.0
Zranb2,0.0
Zwint,12.0
