gene_symbol,phase_adrg,phase_aort,phase_bfat,phase_bstm,phase_cere,phase_hart,phase_hypo,phase_kdny,phase_livr,phase_lung,phase_musc,phase_wfat
Mcph1,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mgat5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,22,NULL,NULL,NULL
Mybbp1a,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,16,NULL,NULL,NULL
Rgs16,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL,9,NULL,NULL,NULL
Scarb2,10,12,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL
Serpini1,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Kcnj8,6,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lcp1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
Nsdhl,NULL,22,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ocrl,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Pitpna,NULL,NULL,NULL,22,NULL,NULL,NULL,19,NULL,NULL,NULL,NULL
Ppid,19,NULL,NULL,NULL,NULL,NULL,NULL,21,19,NULL,NULL,NULL
Psmf1,NULL,NULL,NULL,6,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL
Anxa7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,9,NULL,NULL
Asah1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL
Bmp3,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ccng1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22
Cdc7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL
Fdft1,NULL,NULL,14,NULL,10,NULL,NULL,21,1,NULL,NULL,14
Fktn,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,22,NULL,NULL,20
Galns,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Ddit4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL
Dhcr24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,16,NULL,NULL,NULL
E2f5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL
E2f6,NULL,NULL,21,21,NULL,NULL,NULL,20,23,NULL,NULL,NULL
Exoc4,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL
Hyal1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,19,14,NULL,NULL
