gene_symbol,phase_adrg,phase_aort,phase_bfat,phase_bstm,phase_cere,phase_hart,phase_hypo,phase_kdny,phase_livr,phase_lung,phase_musc,phase_wfat
Tpk1,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL
Tspyl2,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ttc3,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Twf2,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Uba7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL
Ulk2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL
Usp10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL
Vangl1,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Wisp2,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL
Xrn2,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL
Ykt6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL
Itpk1,NULL,2,3,NULL,NULL,NULL,NULL,NULL,23,19,NULL,NULL
Kcnk1,9,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,13,NULL,NULL
Kctd15,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,9
Khk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Kremen1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL
Nab1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL
Ndufb8,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ndufv3,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ngly1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL
Nhp2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL
Nipa1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Nt5c,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,11,NULL,NULL
Nub1,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rfx3,19,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
Rhobtb2,NULL,NULL,16,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL
Ror1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
Rpl10a,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rpl12,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rps10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Sco1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL
Sf3a2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Bckdhb,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Camta1,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL
Cby1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,14,NULL,NULL
Cdc42bpa,NULL,NULL,NULL,20,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL
Fgd4,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,4,NULL
Fkbp3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fmo2,17,16,16,13,13,15,14,NULL,15,16,14,18
Foxn3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL
Frem1,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,8,NULL,NULL
Gltscr2,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,12
Dhps,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Dpep1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL
Dusp10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,5,22
Echs1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL
Eif3d,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL
Eif4e2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL
Eif4enif1,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,15,NULL,NULL
Eif5,0,22,0,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL
Elovl6,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL
Emp2,3,NULL,NULL,NULL,2,8,4,0,NULL,NULL,NULL,NULL
1500003O03Rik,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL
Abcf2,13,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Agpat1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,14,NULL,NULL,NULL
Aim2,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL
Api5,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL
Arl6ip1,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
Atp6v1c1,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Gns,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,11,NULL,NULL,NULL
Gpr182,NULL,NULL,NULL,13,14,12,NULL,NULL,19,15,NULL,NULL
Gps2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL
Gpsm1,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL
Gtf3a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL
Hipk3,NULL,1,2,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,6
Cks2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Cltb,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,15,NULL,NULL
Cnot6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
Cpsf3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,0,23,NULL,NULL
Dcdc2a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL
Dedd,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Cidec,12,13,15,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL
Clstn1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Cndp2,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Cnot2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL
Cobl,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL
Colq,NULL,NULL,19,NULL,NULL,0,NULL,NULL,NULL,5,NULL,NULL
Cpsf1,7,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8
Crat,NULL,NULL,9,NULL,NULL,NULL,NULL,12,20,NULL,NULL,NULL
Crip2,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Cryz,6,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL
D6Wsu116e,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
Dcxr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,8,NULL,NULL
Ddx24,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL
Dusp16,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,23,NULL,NULL,NULL
Dym,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL
Edc3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL
Eef1e1,NULL,NULL,NULL,NULL,NULL,2,NULL,20,NULL,NULL,NULL,20
Entpd2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL
Epn2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,14
Bcl9,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL
Bcs1l,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,22,NULL,NULL,NULL
Bhmt2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Cblc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL
Ccng2,22,NULL,22,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,23
Cd248,NULL,NULL,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cdc14b,NULL,NULL,4,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL
Fermt2,0,NULL,NULL,4,NULL,NULL,NULL,0,1,0,NULL,1
Ffar2,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5
Fig4,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL
Gmfb,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL
Gsta1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL
Hnrnpa3,15,NULL,NULL,NULL,NULL,NULL,19,23,NULL,NULL,NULL,NULL
Hnrnph3,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL
Ifi204,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL
A1cf,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL
Acaa2,8,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,9,NULL,NULL
Acvr1c,5,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4
Adamts2,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ap3b2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
Apba3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL
Arfgef1,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Atf7ip,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,7,NULL
Atp1b3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,23
Atp5k,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Atp5l,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Atp6v1g1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL
B3galnt1,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rasgrp2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Rasgrp3,NULL,NULL,NULL,23,23,1,NULL,NULL,21,2,NULL,NULL
Rbm39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
Ric8,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rnf11,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23
Rngtt,19,NULL,23,21,NULL,NULL,22,21,NULL,NULL,NULL,NULL
Rsad2,0,NULL,NULL,NULL,NULL,NULL,NULL,21,2,NULL,NULL,NULL
Serpina3k,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL
Sgol2,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL
Timd4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL
Tom1l2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Sharpin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,9
Sil1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Slc16a4,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Slc25a19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19
Slc38a4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,0,NULL
Sms,NULL,NULL,NULL,22,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL
Smtn,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL
Smyd1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Socs7,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,NULL,NULL,NULL
St3gal3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL
Zhx1,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Zwint,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL
Lrrc4,18,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,9
Lsr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,21,NULL,NULL,NULL
Maff,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,11,NULL,NULL
Manf,NULL,NULL,NULL,19,NULL,0,NULL,18,NULL,17,NULL,NULL
7-Mar,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL
Mark4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL
Mkrn1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Mlf1,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL
Mn1,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL
Mpp6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL
Mta3,NULL,NULL,NULL,NULL,NULL,7,NULL,3,2,2,NULL,NULL
Osbpl3,NULL,NULL,NULL,NULL,1,22,NULL,7,NULL,6,NULL,NULL
Paip2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL
Palm,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL
Parl,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pctp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Pde1b,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pds5b,18,NULL,23,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL
Poldip2,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Porcn,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ppp2r5c,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
Ptgfrn,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL
Ptk7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL
Puf60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Qsox1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL
Napsa,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Npnt,22,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL
Ube2h,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Upk1b,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL
Usp15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL
Vac14,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,21
Vamp4,20,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL
Xylt2,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ino80,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,6,8,7,NULL
Iqgap2,15,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jdp2,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL
Kcnip1,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Krr1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL
Lect2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Lpar6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL
Ipo13,NULL,NULL,NULL,8,NULL,NULL,10,NULL,NULL,11,NULL,NULL
Ipo9,20,1,2,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL
Kif13a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL
Parm1,16,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL
Pcbp4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7,NULL,NULL,NULL
Pde2a,21,NULL,NULL,NULL,NULL,NULL,NULL,2,0,NULL,2,NULL
Sh3pxd2a,0,0,2,NULL,NULL,NULL,NULL,NULL,0,NULL,23,0
Shoc2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Sirt5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Slc39a2,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL
Smpd4,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,0,NULL,NULL,NULL
Snrk,NULL,9,10,NULL,18,12,NULL,12,17,10,11,NULL
Snrpc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Srrt,NULL,NULL,NULL,22,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL
Ssbp2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL
Stag1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL
Stk25,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL
Strn4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Stt3a,NULL,NULL,NULL,NULL,NULL,2,NULL,21,NULL,NULL,NULL,NULL
Rbms1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,6,NULL,NULL
Rbpms,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
Reep1,NULL,NULL,22,NULL,NULL,21,NULL,NULL,NULL,14,NULL,NULL
Reep5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL
Rfxank,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Rgs12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL
Rilp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL
Rit1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Rpp30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,23
Rps26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Safb2,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL
Sarnp,19,NULL,NULL,NULL,NULL,NULL,NULL,21,23,NULL,NULL,NULL
Scmh1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Sec22b,NULL,NULL,3,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,NULL
Sec61b,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL
Sec63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL
Serpinb1a,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,3,NULL,NULL,NULL
Sgms2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL
Synj2bp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Tbc1d15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,8
Tbl2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,13,NULL,14
Tbrg4,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tcea3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Tiam2,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Timm23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21
Tmem27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
Trappc3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,12,NULL,NULL
Lrrn1,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Maged2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL
Mmab,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,18,NULL,NULL
Mpdu1,NULL,NULL,12,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
Zdhhc17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
Unc93b1,6,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Vps29,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Vps39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL
Vsig4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL
Wrnip1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,8
Phlda1,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pigt,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Pik3r3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL
Pisd,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Prune2,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ptma,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL
Rab11fip2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL
Rab22a,NULL,NULL,NULL,NULL,NULL,NULL,21,19,NULL,17,NULL,NULL
Nacc1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL
Nat10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,8,NULL,NULL
Npas3,NULL,NULL,NULL,4,5,NULL,6,NULL,NULL,NULL,NULL,NULL
Nr2f6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
Nrbp1,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL
Ogfr,7,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Aff4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL
Akr1b7,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Aldh9a1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL
Art3,10,NULL,NULL,NULL,NULL,13,NULL,14,NULL,NULL,NULL,NULL
Atp8a1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL
Atpif1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL
Auts2,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,2,NULL
Baz1a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
Brcc3,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
Brsk2,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bzw1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL
Ccnl2,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ccny,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL
Celsr1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL
Cep57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL
Clec3b,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Clrn1,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cnksr2,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL
Cox6b1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL
Creld1,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,22,NULL,NULL,NULL
Cst8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL
Cstf3,NULL,NULL,NULL,NULL,NULL,NULL,22,21,NULL,NULL,1,NULL
Cybrd1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,15,NULL,NULL
