gene_symbol,acrophase
Cpsf3l,8.0
Cpsf4,16.0
Cpsf6,16.0
Crcp,16.0
Creld2,8.0
Crip1,8.0
Cript,8.0
Crkl,16.0
Cryl1,8.0
Cs,16.0
Csda,8.0
Cse1l,16.0
Csk,8.0
Csnk2b,16.0
Cspp1,16.0
Ctc1,8.0
Ctcf,16.0
Ctdspl2,16.0
Ctnnbl1,0.0
Ctps,8.0
Ctr9,16.0
Ctse,16.0
Ctsg,8.0
Cul1,8.0
Cul4b,16.0
Cuta,8.0
Cwc15,16.0
Cwc27,16.0
Cwf19l1,16.0
Cyb561d2,16.0
Cyb5b,8.0
Cyb5r1,8.0
Cyb5r3,8.0
Cyba,8.0
Cyc1,8.0
Cycs,8.0
Cyfip1,8.0
Cyfip2,16.0
Cyp20a1,16.0
Cyp51,0.0
D10Wsu102e,8.0
D10Wsu52e,8.0
D17H6S56E-5,16.0
D17Wsu104e,8.0
D19Ertd737e,16.0
D2Ertd750e,16.0
D2Wsu81e,8.0
D8Ertd738e,16.0
Dad1,8.0
Dap,16.0
Dars,16.0
Dars2,8.0
Dbi,8.0
Dbr1,8.0
Dcaf11,16.0
Dcaf13,16.0
Dcakd,8.0
Dck,8.0
Dclre1a,8.0
Dclre1b,16.0
Dcps,16.0
Dctn6,16.0
Dctpp1,8.0
Ddb2,8.0
Ddost,8.0
Ddrgk1,8.0
Ddt,8.0
Ddx1,8.0
Ddx11,8.0
Ddx26b,16.0
Ddx27,8.0
Ddx28,16.0
Ddx39,16.0
Ddx39b,8.0
Ddx3x,0.0
Ddx46,8.0
Ddx49,16.0
Ddx52,16.0
Ddx56,8.0
Decr1,8.0
Degs1,8.0
Dek,8.0
Denr,8.0
Dera,16.0
Derl2,16.0
Det1,16.0
Dgcr8,8.0
Dhfr,8.0
Dhodh,8.0
Dhrs4,8.0
Dhrs7b,16.0
Dhx15,0.0
Dhx29,8.0
Dhx8,16.0
Diablo,16.0
Dkc1,8.0
Dld,16.0
Dlgap5,16.0
Dlst,8.0
Dmap1,16.0
Dna2,8.0
Dnaja1,0.0
Dnajb1,8.0
Dnajb11,8.0
Dnajb6,16.0
Dnajc10,16.0
Dnajc11,8.0
Dnajc15,8.0
Dnajc19,16.0
Dnajc30,16.0
Dnajc8,8.0
Dnajc9,8.0
Dnase1l1,8.0
Dnase2a,8.0
Dnm1l,16.0
Dnmt1,8.0
Dnttip2,16.0
Dpagt1,16.0
Dpcd,16.0
Dph2,16.0
Dpm2,0.0
Dpm3,16.0
Dpp3,8.0
Dpp9,0.0
Dpy30,8.0
Dpysl2,8.0
Drg1,0.0
Dscc1,8.0
Dsn1,8.0
Dtd1,0.0
Dtl,8.0
Dtnbp1,8.0
Dtwd1,16.0
Dtymk,8.0
Dus1l,0.0
Dus3l,0.0
Dut,8.0
Dym,8.0
Dynll1,8.0
Dynlrb1,8.0
Dynlt1-ps1,8.0
Dynlt1a,16.0
E2f4,8.0
E2f8,8.0
Eapp,16.0
Ebag9,0.0
Ebna1bp2,8.0
Ebp,8.0
Ecd,8.0
Ece2,8.0
Echs1,16.0
Ecsit,8.0
Ect2,16.0
Edf1,8.0
Eed,8.0
Eef1d,8.0
Eef1e1,16.0
Eefsec,16.0
Eftud2,8.0
Egfl7,8.0
Eif1ad,8.0
Eif1ax,8.0
Eif1b,16.0
Eif2b1,16.0
Eif2b3,8.0
Eif2d,8.0
Eif2s1,0.0
Eif2s2,8.0
Eif2s3x,16.0
Eif3a,0.0
Eif3c,8.0
Eif3d,8.0
Eif3g,8.0
Eif3h,8.0
Eif3i,8.0
Eif3j1,8.0
Eif3l,8.0
Eif3m,8.0
Eif4a1,0.0
Eif4a3,8.0
Eif4e,8.0
