gene,prior_acrophase_loc,prior_acrophase_95_interval
Ckap5,4.71238898038469,2.356194490192345
Cks1b,3.926990816987241,2.356194490192345
Cks2,4.71238898038469,2.356194490192345
Clspn,0.7853981633974483,2.356194490192345
Cnih4,0.0,2.356194490192345
Cntrob,3.926990816987241,2.356194490192345
Coq6,3.141592653589793,2.356194490192345
Crebzf,0.7853981633974483,2.356194490192345
Ctnna1,3.926990816987241,2.356194490192345
Cyp4v2,3.141592653589793,2.356194490192345
Dcaf7,3.141592653589793,2.356194490192345
Dctpp1,3.141592653589793,2.356194490192345
Ddx11,1.5707963267948966,2.356194490192345
Ddx58,0.0,2.356194490192345
Depdc1,4.71238898038469,2.356194490192345
Depdc1b,4.71238898038469,2.356194490192345
Dhfrl1,1.5707963267948966,2.356194490192345
Dkc1p,0.0,2.356194490192345
Dlgap5,4.71238898038469,2.356194490192345
Dnah11,0.7853981633974483,2.356194490192345
Dnajb1,4.71238898038469,2.356194490192345
Dnajb6,0.0,2.356194490192345
Dnmt3b,3.141592653589793,2.356194490192345
Donson,0.7853981633974483,2.356194490192345
Dscc1,0.7853981633974483,2.356194490192345
Dtl,0.0,2.356194490192345
Dynll1,0.0,2.356194490192345
E2f1,0.7853981633974483,2.356194490192345
E2f2,0.7853981633974483,2.356194490192345
E2f5,4.71238898038469,2.356194490192345
E2f8,1.5707963267948966,2.356194490192345
Ect2,4.71238898038469,2.356194490192345
Efhc1,1.5707963267948966,2.356194490192345
Eif5a2,3.926990816987241,2.356194490192345
Ern2,4.71238898038469,2.356194490192345
Esco2,3.141592653589793,2.356194490192345
Espl1,3.141592653589793,2.356194490192345
Etv4,0.0,2.356194490192345
Exo1,1.5707963267948966,2.356194490192345
Ezh2,1.5707963267948966,2.356194490192345
Fam102b,4.71238898038469,2.356194490192345
Fam111b,0.7853981633974483,2.356194490192345
Fam214a,0.7853981633974483,2.356194490192345
Fam216a,4.71238898038469,2.356194490192345
Fam64a,4.71238898038469,2.356194490192345
Fam72a,3.141592653589793,2.356194490192345
Fam72bp,3.141592653589793,2.356194490192345
Fam83d,3.141592653589793,2.356194490192345
Fam84b,0.0,2.356194490192345
Fancd2,3.141592653589793,2.356194490192345
Fanci,3.141592653589793,2.356194490192345
Fen1,0.7853981633974483,2.356194490192345
Fopnl,4.71238898038469,2.356194490192345
Foxm1,3.926990816987241,2.356194490192345
Fzr1,3.141592653589793,2.356194490192345
G2e3,4.71238898038469,2.356194490192345
