gene,prior_acrophase_loc,prior_acrophase_95_interval
Hlf,4.686302,0.39269908169872414
Hmgcs2,4.4715896,0.39269908169872414
Hspa5,3.4534788,0.39269908169872414
Hspb7,6.2675066,0.39269908169872414
Hsph1,2.9421096,0.39269908169872414
Id2,3.8430717,0.39269908169872414
Idi1,3.4292786,0.39269908169872414
Ier5,6.18675,0.39269908169872414
Ier5l,5.298106,0.39269908169872414
Ifit3,3.7443058,0.39269908169872414
Ifit3b,5.54223,0.39269908169872414
Igfbp5,3.9220932,0.39269908169872414
Itgb3,4.009822,0.39269908169872414
Junb,1.4997791,0.39269908169872414
Klf15,1.3126687,0.39269908169872414
Klf2,2.7978656,0.39269908169872414
Klf4,3.156381,0.39269908169872414
Klf9,0.9762835,0.39269908169872414
Ky,2.2990644,0.39269908169872414
Ldlr,2.0856292,0.39269908169872414
Leo1,6.2607718,0.39269908169872414
Lonrf1,5.7768726,0.39269908169872414
Lox,5.838798,0.39269908169872414
Lpl,2.9236107,0.39269908169872414
Manf,0.82614964,0.39269908169872414
Mapre2,6.208765,0.39269908169872414
Mknk2,1.175458,0.39269908169872414
Mob2,4.5448446,0.39269908169872414
Msmo1,5.047698,0.39269908169872414
Mt1,3.309624,0.39269908169872414
Mt2,4.696725,0.39269908169872414
Mthfd1l,4.330778,0.39269908169872414
Myoz2,3.3969505,0.39269908169872414
Nampt,2.0205224,0.39269908169872414
Ncald,3.3432539,0.39269908169872414
Net1,1.7187713,0.39269908169872414
Nfil3,0.5049713,0.39269908169872414
Nfkbia,3.1819396,0.39269908169872414
Npas2,3.1603818,0.39269908169872414
Npy1r,4.665289,0.39269908169872414
Nr1d1,4.689783,0.39269908169872414
Nr1d2,4.6733894,0.39269908169872414
Nr4a1,0.37009358,0.39269908169872414
Nr4a2,3.9926503,0.39269908169872414
Olfr655,0.2986068,0.39269908169872414
P4ha1,2.7339404,0.39269908169872414
Pde4b,3.2240674,0.39269908169872414
Pdlim4,1.1782054,0.39269908169872414
Peli1,2.5232863,0.39269908169872414
Per1,0.7838293,0.39269908169872414
Per2,1.8268833,0.39269908169872414
